,index,circuit,loss,r_lac_ol,r_tl_ngl,r_tl_tetR_ngl,r_fl_prime_nml,ki_nml,r_tl_lnml,r_ar2_lnml,best_losses,best_loss_circuit
0,0,Negative Gene Loop,1.3748214846952616,,9.775158319908123e-08,2.3787527459358814e-08,,,,,1.3748214846952616,Negative Gene Loop
1,1,Negative Gene Loop,0.664181758504119,,3.183679057006559e-08,5.558676395348274e-08,,,,,0.664181758504119,Negative Gene Loop
2,2,Layered Negative Metabolic Loop,5.807311230626715,,,,,,9.54005365987845e-08,1.7114438234058908e-08,0.664181758504119,Negative Gene Loop
3,3,Negative Gene Loop,0.8465097184661075,,5.725090506582119e-08,6.154525812815743e-08,,,,,0.664181758504119,Negative Gene Loop
4,4,Negative Metabolic Loop,1.400482035817656,,,,7.03521380304793e-08,0.049361181036561556,,,0.664181758504119,Negative Gene Loop
5,5,Negative Gene Loop,0.46848929346175994,,1.4479334712153506e-08,2.8250154425531672e-08,,,,,0.46848929346175994,Negative Gene Loop
6,6,Negative Gene Loop,1.0083484582291256,,7.918868692311716e-08,5.3641661173863e-08,,,,,0.46848929346175994,Negative Gene Loop
7,7,Negative Gene Loop,0.8993139655226361,,6.489639445184851e-08,6.47552704945927e-08,,,,,0.46848929346175994,Negative Gene Loop
8,8,Negative Metabolic Loop,1.0899486156089397,,,,3.8220102865724986e-08,0.05628351670735981,,,0.46848929346175994,Negative Gene Loop
9,9,Negative Metabolic Loop,2.0707547197299774,,,,7.986596154685354e-08,0.09712469652136768,,,0.46848929346175994,Negative Gene Loop
10,10,Negative Metabolic Loop,1.0250615545412503,,,,5.334637124732058e-08,0.03463076165848849,,,0.46848929346175994,Negative Gene Loop
11,11,Negative Metabolic Loop,1.2308113649224215,,,,3.5773524229410185e-08,0.07813634886211179,,,0.46848929346175994,Negative Gene Loop
12,12,Negative Gene Loop,1.014389226367256,,8.205963870859526e-08,9.638178158455951e-08,,,,,0.46848929346175994,Negative Gene Loop
13,13,Open Loop,25.701546008870373,5.1402776006876685e-08,,,,,,,0.46848929346175994,Negative Gene Loop
14,14,Layered Negative Metabolic Loop,19.514831826229948,,,,,,8.572296750308379e-08,9.565614110798474e-08,0.46848929346175994,Negative Gene Loop
15,15,Open Loop,29.00880009769627,5.801732021287023e-08,,,,,,,0.46848929346175994,Negative Gene Loop
16,16,Layered Negative Metabolic Loop,8.61441961682117,,,,,,7.139423989874001e-08,3.2654743312170874e-08,0.46848929346175994,Negative Gene Loop
17,17,Negative Gene Loop,1.106450061682924,,6.421324139292358e-08,1.5933543455526337e-08,,,,,0.46848929346175994,Negative Gene Loop
18,18,Negative Gene Loop,1.842685836703636,,8.985092745874995e-08,8.518441025657131e-09,,,,,0.46848929346175994,Negative Gene Loop
19,19,Negative Gene Loop,1.0663730146378425,,7.813183737544294e-08,3.384810089610855e-08,,,,,0.46848929346175994,Negative Gene Loop
20,20,Open Loop,1.708706677495223,3.4126534707215444e-09,,,,,,,0.46848929346175994,Negative Gene Loop
21,21,Negative Gene Loop,0.5297497535078943,,1.6918670511777235e-08,4.244233484818237e-08,,,,,0.46848929346175994,Negative Gene Loop
22,22,Negative Gene Loop,0.47326440825262406,,4.488963481252793e-09,3.746251341991546e-08,,,,,0.46848929346175994,Negative Gene Loop
23,23,Negative Gene Loop,0.4732280447623079,,5.495805906265695e-09,4.238322590153965e-10,,,,,0.46848929346175994,Negative Gene Loop
24,24,Negative Gene Loop,0.8540343997079766,,3.25382631548836e-08,6.157174555834808e-09,,,,,0.46848929346175994,Negative Gene Loop
25,25,Open Loop,47.53427185786038,9.506837285095111e-08,,,,,,,0.46848929346175994,Negative Gene Loop
26,26,Layered Negative Metabolic Loop,4.513401001838195,,,,,,2.569453400543706e-09,8.805953266184314e-08,0.46848929346175994,Negative Gene Loop
27,27,Negative Gene Loop,0.17570526655694446,,1.2558098071601122e-09,9.456425027880098e-10,,,,,0.17570526655694446,Negative Gene Loop
28,28,Negative Gene Loop,0.5252245563577844,,2.12346190060201e-08,2.4797939915882907e-08,,,,,0.17570526655694446,Negative Gene Loop
29,29,Negative Gene Loop,0.5214579267143143,,1.0793084175746449e-09,1.7915645881992944e-08,,,,,0.17570526655694446,Negative Gene Loop
30,30,Negative Gene Loop,0.6410194410947845,,1.5622979330719604e-08,8.355079622023119e-08,,,,,0.17570526655694446,Negative Gene Loop
31,31,Layered Negative Metabolic Loop,8.849128008911574,,,,,,1.709088776038866e-08,7.111872426449764e-08,0.17570526655694446,Negative Gene Loop
32,32,Open Loop,0.2396979817254778,4.4270361374861946e-10,,,,,,,0.17570526655694446,Negative Gene Loop
33,33,Open Loop,0.6983429576973064,1.3849571512155308e-09,,,,,,,0.17570526655694446,Negative Gene Loop
34,34,Open Loop,11.81453390939816,2.3628380347401683e-08,,,,,,,0.17570526655694446,Negative Gene Loop
35,35,Open Loop,41.113787128638144,8.222737670949802e-08,,,,,,,0.17570526655694446,Negative Gene Loop
36,36,Open Loop,12.168903366625619,2.4337139282759364e-08,,,,,,,0.17570526655694446,Negative Gene Loop
37,37,Open Loop,12.971314121619736,2.5942002083565017e-08,,,,,,,0.17570526655694446,Negative Gene Loop
38,38,Open Loop,35.2225192224763,7.044480785541554e-08,,,,,,,0.17570526655694446,Negative Gene Loop
